player_id,season_id,phase,matches,innings,runs,balls,average,strike_rate,highest_score,fours,sixes,dismissals,dot_ball_pct,boundary_pct
2,1,Death Over,1,1,0.0,1,0.0,0.0,0.0,0,0,1,100.0,0.0
2,1,Middle Over,2,2,48.0,40,24.0,120.0,46.0,6,1,1,40.0,17.5
2,1,Powerplay Over,3,3,34.0,45,11.33,75.56,18.0,3,0,1,53.33,6.67
4,1,Death Over,2,2,27.0,21,13.5,128.57,14.0,2,1,2,23.81,14.29
4,1,Middle Over,8,8,77.0,78,9.62,98.72,34.0,6,1,6,25.64,8.97
4,1,Powerplay Over,8,8,95.0,89,11.88,106.74,30.0,15,2,3,51.69,19.1
6,1,Death Over,6,6,56.0,42,9.33,133.33,18.0,4,3,4,30.95,16.67
6,1,Middle Over,6,6,79.0,66,13.17,119.7,29.0,7,3,3,31.82,15.15
10,1,Middle Over,2,2,53.0,34,26.5,155.88,35.0,5,2,2,17.65,20.59
10,1,Powerplay Over,6,6,62.0,76,10.33,81.58,26.0,7,1,3,51.32,10.53
17,1,Death Over,1,1,2.0,5,2.0,40.0,2.0,0,0,1,60.0,0.0
21,1,Death Over,3,3,12.0,13,4.0,92.31,9.0,0,0,1,7.69,0.0
21,1,Middle Over,2,2,11.0,10,5.5,110.0,6.0,2,0,1,50.0,20.0
21,1,Powerplay Over,1,1,13.0,8,13.0,162.5,13.0,1,1,1,37.5,25.0
28,1,Middle Over,8,8,103.0,103,12.88,100.0,36.0,13,0,7,32.04,12.62
28,1,Powerplay Over,9,9,208.0,138,23.11,150.72,38.0,30,6,2,34.78,26.09
39,1,Death Over,4,4,13.0,17,3.25,76.47,8.0,1,0,1,41.18,5.88
41,1,Death Over,5,5,39.0,30,7.8,130.0,16.0,5,1,6,36.67,20.0
41,1,Middle Over,1,1,10.0,10,10.0,100.0,10.0,0,1,1,40.0,10.0
55,1,Death Over,6,6,80.0,44,13.33,181.82,33.0,8,5,6,27.27,29.55
55,1,Middle Over,5,5,66.0,66,13.2,100.0,31.0,4,3,2,34.85,10.61
55,1,Powerplay Over,2,2,1.0,6,0.5,16.67,1.0,0,0,0,83.33,0.0
56,1,Death Over,2,2,29.0,13,14.5,223.08,24.0,4,1,0,7.69,38.46
56,1,Middle Over,1,1,9.0,9,9.0,100.0,9.0,1,0,1,33.33,11.11
56,1,Powerplay Over,2,2,32.0,47,16.0,68.09,18.0,2,1,1,59.57,6.38
57,1,Death Over,2,2,37.0,23,18.5,160.87,33.0,3,1,1,17.39,17.39
57,1,Middle Over,2,2,31.0,25,15.5,124.0,24.0,3,0,1,24.0,12.0
57,1,Powerplay Over,2,2,35.0,35,17.5,100.0,33.0,7,0,1,54.29,20.0
61,1,Death Over,1,1,4.0,1,4.0,400.0,4.0,1,0,0,0.0,100.0
61,1,Middle Over,1,1,9.0,12,9.0,75.0,9.0,0,0,1,41.67,0.0
62,1,Death Over,3,3,25.0,17,8.33,147.06,18.0,4,0,1,35.29,23.53
62,1,Middle Over,1,1,8.0,7,8.0,114.29,8.0,1,0,0,28.57,14.29
64,1,Death Over,3,3,3.0,13,1.0,23.08,2.0,0,0,0,69.23,0.0
65,1,Middle Over,6,6,164.0,97,27.33,169.07,55.0,17,9,5,29.9,26.8
65,1,Powerplay Over,14,14,350.0,236,25.0,148.31,59.0,40,22,8,41.53,26.27
66,1,Middle Over,5,5,170.0,81,34.0,209.88,70.0,16,12,4,18.52,34.57
66,1,Powerplay Over,14,14,236.0,148,16.86,159.46,38.0,30,9,8,29.05,26.35
74,1,Death Over,6,6,63.0,34,10.5,185.29,28.0,7,1,1,8.82,23.53
74,1,Middle Over,14,14,351.0,233,25.07,150.64,60.0,33,16,9,28.33,21.03
74,1,Powerplay Over,8,8,58.0,55,7.25,105.45,20.0,7,2,0,47.27,16.36
98,1,Death Over,1,1,20.0,16,20.0,125.0,20.0,0,1,0,6.25,6.25
98,1,Middle Over,2,2,41.0,35,20.5,117.14,40.0,4,1,1,34.29,14.29
98,1,Powerplay Over,1,1,35.0,21,35.0,166.67,35.0,7,0,0,42.86,33.33
110,1,Middle Over,6,6,162.0,106,27.0,152.83,62.0,11,11,5,31.13,20.75
110,1,Powerplay Over,14,14,274.0,222,19.57,123.42,47.0,40,8,8,45.5,21.62
111,1,Death Over,5,5,109.0,54,21.8,201.85,47.0,8,9,3,27.78,31.48
111,1,Middle Over,11,11,163.0,120,14.82,135.83,43.0,15,7,7,30.83,18.33
111,1,Powerplay Over,2,2,27.0,17,13.5,158.82,23.0,1,3,2,47.06,23.53
118,1,Death Over,2,2,4.0,3,2.0,133.33,4.0,1,0,1,33.33,33.33
121,1,Middle Over,9,9,104.0,102,11.56,101.96,33.0,9,2,7,33.33,10.78
121,1,Powerplay Over,13,13,198.0,213,15.23,92.96,23.0,33,1,4,51.17,15.96
128,1,Death Over,3,3,24.0,17,8.0,141.18,12.0,3,0,3,17.65,17.65
128,1,Middle Over,8,8,210.0,153,26.25,137.25,48.0,19,4,4,18.95,15.03
128,1,Powerplay Over,14,14,300.0,224,21.43,133.93,35.0,46,4,7,35.71,22.32
129,1,Death Over,6,6,30.0,30,5.0,100.0,17.0,4,0,3,40.0,13.33
129,1,Middle Over,3,3,4.0,13,1.33,30.77,3.0,0,0,1,69.23,0.0
132,1,Death Over,2,2,21.0,12,10.5,175.0,13.0,4,0,0,33.33,33.33
132,1,Middle Over,6,6,75.0,89,12.5,84.27,34.0,8,1,5,38.2,10.11
132,1,Powerplay Over,7,7,92.0,88,13.14,104.55,18.0,14,1,1,46.59,17.05
134,1,Death Over,1,1,1.0,3,1.0,33.33,1.0,0,0,1,33.33,0.0
134,1,Middle Over,1,1,1.0,1,1.0,100.0,1.0,0,0,0,0.0,0.0
147,1,Death Over,5,5,41.0,26,8.2,157.69,27.0,3,3,1,26.92,23.08
147,1,Middle Over,2,2,5.0,6,2.5,83.33,5.0,1,0,2,66.67,16.67
150,1,Death Over,3,3,8.0,9,2.67,88.89,6.0,1,0,0,44.44,11.11
151,1,Death Over,3,3,22.0,13,7.33,169.23,12.0,4,0,2,23.08,30.77
151,1,Middle Over,6,6,90.0,81,15.0,111.11,30.0,6,4,6,29.63,12.35
151,1,Powerplay Over,6,6,53.0,74,8.83,71.62,21.0,8,0,4,54.05,10.81
152,1,Death Over,4,4,19.0,16,4.75,118.75,12.0,0,1,2,31.25,6.25
152,1,Middle Over,1,1,2.0,2,2.0,100.0,2.0,0,0,0,50.0,0.0
155,1,Death Over,4,4,32.0,20,8.0,160.0,12.0,5,0,1,10.0,25.0
155,1,Middle Over,3,3,58.0,55,19.33,105.45,31.0,8,0,1,38.18,14.55
