player_id,season_id,phase,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_avg,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded
1,1,Death Over,11,11,79,13.0,118.0,3,9.08,39.33,26.0,17,21.52,11,4
1,1,Middle Over,3,3,24,4.0,28.0,1,7.0,28.0,24.0,9,37.5,4,0
1,1,Powerplay Over,14,14,226,37.0,211.0,8,5.7,26.38,27.75,127,56.19,26,6
2,1,Death Over,1,1,6,1.0,10.0,0,10.0,0.0,inf,3,50.0,2,0
2,1,Middle Over,2,2,18,3.0,31.0,1,10.33,31.0,18.0,5,27.78,6,0
2,1,Powerplay Over,2,2,25,4.0,50.0,0,12.5,0.0,inf,7,28.0,9,1
7,1,Death Over,8,8,55,9.0,99.0,2,11.0,49.5,27.0,12,21.82,12,4
7,1,Middle Over,11,11,118,19.0,151.0,2,7.95,75.5,58.0,31,26.27,11,4
7,1,Powerplay Over,6,6,38,6.0,61.0,0,10.17,0.0,inf,12,31.58,10,1
21,1,Middle Over,7,7,76,12.0,116.0,1,9.67,116.0,72.0,16,21.05,12,2
21,1,Powerplay Over,2,2,12,2.0,21.0,1,10.5,21.0,12.0,6,50.0,3,1
26,1,Death Over,1,1,6,1.0,13.0,0,13.0,0.0,inf,1,16.67,1,1
26,1,Middle Over,2,2,20,3.0,34.0,0,11.33,0.0,inf,4,20.0,5,0
26,1,Powerplay Over,1,1,6,1.0,12.0,0,12.0,0.0,inf,1,16.67,1,1
32,1,Death Over,12,12,102,17.0,172.0,9,10.12,19.11,10.89,25,24.51,18,6
32,1,Middle Over,6,6,38,6.0,43.0,1,7.17,43.0,36.0,14,36.84,4,1
32,1,Powerplay Over,14,14,185,30.0,227.0,5,7.57,45.4,34.8,83,44.86,34,5
40,1,Death Over,1,1,6,1.0,15.0,0,15.0,0.0,inf,0,0.0,3,0
40,1,Middle Over,2,2,11,1.0,34.0,0,34.0,0.0,inf,0,0.0,2,3
47,1,Death Over,2,2,18,3.0,19.0,1,6.33,19.0,18.0,5,27.78,2,0
47,1,Middle Over,2,2,30,5.0,35.0,1,7.0,35.0,30.0,11,36.67,2,2
56,1,Death Over,1,1,6,1.0,7.0,0,7.0,0.0,inf,2,33.33,1,0
56,1,Middle Over,1,1,6,1.0,4.0,1,4.0,4.0,6.0,2,33.33,0,0
56,1,Powerplay Over,1,1,12,2.0,13.0,0,6.5,0.0,inf,5,41.67,2,0
67,1,Death Over,1,1,6,1.0,8.0,0,8.0,0.0,inf,4,66.67,0,1
67,1,Middle Over,1,1,6,1.0,11.0,0,11.0,0.0,inf,1,16.67,2,0
67,1,Powerplay Over,1,1,6,1.0,12.0,1,12.0,12.0,6.0,2,33.33,1,1
68,1,Death Over,10,10,107,17.0,117.0,16,6.88,7.31,6.44,38,35.51,9,3
68,1,Middle Over,2,2,12,2.0,8.0,0,4.0,0.0,inf,7,58.33,1,0
68,1,Powerplay Over,11,11,146,24.0,141.0,6,5.88,23.5,22.0,76,52.05,17,4
92,1,Death Over,2,2,14,2.0,33.0,0,16.5,0.0,inf,1,7.14,2,2
92,1,Middle Over,5,5,43,7.0,68.0,0,9.71,0.0,inf,8,18.6,7,2
92,1,Powerplay Over,3,3,19,3.0,28.0,0,9.33,0.0,inf,9,47.37,3,1
93,1,Death Over,2,2,13,2.0,11.0,2,5.5,5.5,6.0,4,30.77,0,0
93,1,Middle Over,7,7,83,13.0,94.0,4,7.23,23.5,19.5,32,38.55,9,3
93,1,Powerplay Over,9,9,72,12.0,102.0,2,8.5,51.0,33.0,30,41.67,12,5
112,1,Middle Over,1,1,18,3.0,22.0,0,7.33,0.0,inf,6,33.33,3,0
135,1,Death Over,4,4,27,4.0,42.0,1,10.5,42.0,26.0,5,18.52,1,2
135,1,Middle Over,6,6,68,11.0,86.0,4,7.82,21.5,16.5,19,27.94,12,0
135,1,Powerplay Over,1,1,7,1.0,9.0,0,9.0,0.0,inf,4,57.14,2,0
147,1,Death Over,8,8,93,15.0,145.0,8,9.67,18.12,11.25,23,24.73,15,5
147,1,Middle Over,9,9,112,18.0,141.0,3,7.83,47.0,36.0,37,33.04,15,4
149,1,Death Over,5,5,37,6.0,57.0,2,9.5,28.5,18.0,8,21.62,3,3
149,1,Middle Over,10,10,123,20.0,142.0,6,7.1,23.67,20.0,38,30.89,12,4
149,1,Powerplay Over,4,4,25,4.0,26.0,1,6.5,26.0,24.0,11,44.0,4,0
157,1,Middle Over,1,1,12,2.0,19.0,1,9.5,19.0,12.0,3,25.0,0,2
166,1,Death Over,6,6,48,8.0,83.0,2,10.38,41.5,24.0,15,31.25,2,9
166,1,Middle Over,7,7,74,12.0,71.0,0,5.92,0.0,inf,28,37.84,6,0
166,1,Powerplay Over,6,6,45,7.0,45.0,1,6.43,45.0,42.0,18,40.0,2,2
167,1,Death Over,5,5,57,9.0,93.0,3,10.33,31.0,18.0,17,29.82,8,5
167,1,Middle Over,5,5,44,7.0,48.0,2,6.86,24.0,21.0,19,43.18,5,1
167,1,Powerplay Over,4,4,27,4.0,19.0,5,4.75,3.8,4.8,13,48.15,2,0
177,1,Death Over,1,1,7,1.0,12.0,0,12.0,0.0,inf,2,28.57,1,0
177,1,Middle Over,4,4,62,10.0,71.0,5,7.1,14.2,12.0,23,37.1,7,1
184,1,Death Over,2,2,19,3.0,26.0,4,8.67,6.5,4.5,8,42.11,4,0
184,1,Middle Over,3,3,43,7.0,56.0,1,8.0,56.0,42.0,8,18.6,2,3
196,1,Death Over,9,9,61,10.0,91.0,4,9.1,22.75,14.75,18,29.51,11,3
196,1,Middle Over,7,7,45,7.0,48.0,3,6.86,16.0,14.0,16,35.56,3,2
196,1,Powerplay Over,14,14,174,29.0,209.0,5,7.21,41.8,33.6,86,49.43,33,3
200,1,Death Over,10,10,63,10.0,89.0,6,8.9,14.83,10.17,18,28.57,9,3
200,1,Middle Over,5,5,32,5.0,62.0,0,12.4,0.0,inf,7,21.88,5,4
200,1,Powerplay Over,15,15,237,39.0,291.0,13,7.46,22.38,16.62,107,45.15,39,4
201,1,Middle Over,1,1,7,1.0,24.0,0,24.0,0.0,inf,0,0.0,2,2
203,1,Death Over,5,5,37,6.0,68.0,1,11.33,68.0,34.0,8,21.62,6,4
203,1,Middle Over,7,7,121,20.0,171.0,7,8.55,24.43,16.29,35,28.93,13,7
206,1,Powerplay Over,3,3,46,7.0,54.0,5,7.71,10.8,8.4,23,50.0,6,2
219,1,Death Over,2,2,13,2.0,29.0,0,14.5,0.0,inf,3,23.08,1,3
219,1,Middle Over,5,5,66,11.0,101.0,2,9.18,50.5,33.0,21,31.82,7,6
221,1,Middle Over,4,4,44,7.0,40.0,3,5.71,13.33,14.0,19,43.18,5,0
227,1,Middle Over,1,1,13,2.0,9.0,2,4.5,4.5,6.0,5,38.46,0,0
227,1,Powerplay Over,1,1,12,2.0,20.0,0,10.0,0.0,inf,3,25.0,3,0
238,1,Death Over,2,2,10,1.0,18.0,1,18.0,18.0,10.0,3,30.0,2,1
238,1,Middle Over,5,5,79,13.0,109.0,2,8.38,54.5,39.0,28,35.44,10,6
243,1,Death Over,7,7,51,8.0,48.0,5,6.0,9.6,9.6,27,52.94,4,2
243,1,Middle Over,6,6,51,8.0,61.0,4,7.62,15.25,12.0,21,41.18,7,2
243,1,Powerplay Over,10,10,145,24.0,143.0,1,5.96,143.0,132.0,68,46.9,18,1
246,1,Middle Over,2,2,20,3.0,30.0,1,10.0,30.0,20.0,4,20.0,1,2
251,1,Death Over,1,1,6,1.0,7.0,0,7.0,0.0,inf,2,33.33,1,0
251,1,Middle Over,5,5,45,7.0,71.0,1,10.14,71.0,41.0,11,24.44,5,3
254,1,Death Over,4,4,31,5.0,53.0,0,10.6,0.0,inf,6,19.35,3,3
254,1,Middle Over,5,5,68,11.0,92.0,3,8.36,30.67,22.0,20,29.41,9,3
254,1,Powerplay Over,6,6,56,9.0,70.0,2,7.78,35.0,24.0,21,37.5,7,2
