player_id,season_id,phase,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_avg,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded
4,1,Death Over,8,8,55,9.0,99.0,2,11.0,49.5,27.0,12,21.82,12,4
4,1,Middle Over,11,11,118,19.0,151.0,2,7.95,75.5,58.0,31,26.27,11,4
4,1,Powerplay Over,6,6,38,6.0,61.0,0,10.17,0.0,inf,12,31.58,10,1
6,1,Death Over,2,2,13,2.0,21.0,0,10.5,0.0,inf,6,46.15,3,1
21,1,Death Over,10,10,107,17.0,117.0,16,6.88,7.31,6.44,38,35.51,9,3
21,1,Middle Over,2,2,12,2.0,8.0,0,4.0,0.0,inf,7,58.33,1,0
21,1,Powerplay Over,11,11,146,24.0,141.0,6,5.88,23.5,22.0,76,52.05,17,4
39,1,Death Over,5,5,27,4.0,55.0,1,13.75,55.0,26.0,8,29.63,4,5
39,1,Middle Over,10,10,184,30.0,229.0,6,7.63,38.17,30.0,65,35.33,22,9
39,1,Powerplay Over,3,3,25,4.0,20.0,0,5.0,0.0,inf,12,48.0,1,0
55,1,Death Over,1,1,6,1.0,8.0,0,8.0,0.0,inf,1,16.67,1,0
55,1,Middle Over,10,10,66,11.0,84.0,3,7.64,28.0,22.0,24,36.36,7,4
55,1,Powerplay Over,13,13,208,34.0,209.0,8,6.15,26.12,25.5,105,50.48,22,5
62,1,Death Over,1,1,6,1.0,7.0,0,7.0,0.0,inf,2,33.33,1,0
62,1,Middle Over,5,5,45,7.0,71.0,1,10.14,71.0,41.0,11,24.44,5,3
64,1,Death Over,9,9,61,10.0,91.0,4,9.1,22.75,14.75,18,29.51,11,3
64,1,Middle Over,7,7,45,7.0,48.0,3,6.86,16.0,14.0,16,35.56,3,2
64,1,Powerplay Over,14,14,174,29.0,209.0,5,7.21,41.8,33.6,86,49.43,33,3
65,1,Death Over,3,3,19,3.0,25.0,1,8.33,25.0,18.0,2,10.53,1,1
65,1,Middle Over,8,8,102,17.0,124.0,3,7.29,41.33,34.0,32,31.37,9,4
65,1,Powerplay Over,1,1,6,1.0,10.0,0,10.0,0.0,inf,2,33.33,0,1
66,1,Death Over,2,2,12,2.0,37.0,1,18.5,37.0,12.0,1,8.33,2,4
66,1,Middle Over,6,6,48,8.0,74.0,2,9.25,37.0,24.0,17,35.42,4,6
66,1,Powerplay Over,1,1,7,1.0,22.0,0,22.0,0.0,inf,0,0.0,3,1
74,1,Death Over,11,11,87,14.0,123.0,6,8.79,20.5,13.17,29,33.33,14,3
74,1,Middle Over,4,4,56,9.0,49.0,2,5.44,24.5,27.0,24,42.86,5,0
74,1,Powerplay Over,13,13,201,33.0,211.0,9,6.39,23.44,21.33,105,52.24,34,3
111,1,Death Over,1,1,6,1.0,3.0,2,3.0,1.5,3.0,3,50.0,0,0
111,1,Middle Over,6,6,50,8.0,80.0,1,10.0,80.0,48.0,9,18.0,5,4
