match_id,date,season_id,venue_id,batting_first_team_id,batting_second_team_id,first_innings_score,first_innings_wickets,second_innings_score,second_innings_wickets,winner_team_id,win_outcome,player_of_match_id,fours,sixes,powerplay_overs_score_1,middle_overs_score_1,death_overs_score_1,powerplay_overs_score_2,middle_overs_score_2,death_overs_score_2
335982.0,2008-04-18,1,3.0,9,17.0,222.0,3,82.0,10,9.0,140 RUNS,232,18,17,61.0,93.0,68.0,26.0,55.0,1.0
335983.0,2008-04-19,1,7.0,6,13.0,240.0,5,207.0,4,6.0,33 RUNS,723,38,25,53.0,108.0,79.0,63.0,102.0,42.0
335984.0,2008-04-19,1,10.0,11,2.0,129.0,8,132.0,1,2.0,9 WICKETS,590,32,4,40.0,56.0,33.0,55.0,73.0,4.0
335985.0,2008-04-20,1,28.0,5,17.0,165.0,7,166.0,5,17.0,5 WICKETS,620,33,11,47.0,58.0,60.0,40.0,78.0,48.0
335986.0,2008-04-20,1,23.0,16,9.0,110.0,10,112.0,5,9.0,5 WICKETS,684,11,10,39.0,38.0,33.0,26.0,55.0,31.0
335987.0,2008-04-21,1,18.0,13,11.0,166.0,8,168.0,4,11.0,6 WICKETS,74,35,14,54.0,61.0,51.0,53.0,89.0,26.0
335988.0,2008-04-22,1,16.0,16,2.0,142.0,8,143.0,1,2.0,9 WICKETS,66,27,12,25.0,48.0,69.0,48.0,95.0,0.0
335989.0,2008-04-23,1,8.0,6,5.0,208.0,5,202.0,7,6.0,6 RUNS,627,43,14,53.0,90.0,65.0,52.0,82.0,68.0
335990.0,2008-04-24,1,16.0,16,11.0,214.0,5,217.0,7,11.0,3 WICKETS,654,42,23,58.0,90.0,66.0,73.0,86.0,58.0
335991.0,2008-04-25,1,7.0,13,5.0,182.0,10,116.0,9,13.0,66 RUNS,736,30,9,60.0,78.0,44.0,39.0,62.0,15.0
335992.0,2008-04-26,1,3.0,17,11.0,135.0,8,138.0,3,11.0,7 WICKETS,74,34,9,57.0,38.0,40.0,45.0,76.0,17.0
335993.0,2008-04-26,1,8.0,9,6.0,147.0,9,152.0,1,6.0,9 WICKETS,497,26,9,61.0,43.0,43.0,45.0,76.0,31.0
335994.0,2008-04-27,1,27.0,5,16.0,154.0,7,155.0,0,16.0,10 WICKETS,110,27,16,27.0,72.0,55.0,60.0,95.0,0.0
335995.0,2008-04-27,1,7.0,2,13.0,158.0,8,162.0,6,13.0,4 WICKETS,98,37,5,45.0,62.0,51.0,55.0,68.0,39.0
335996.0,2008-04-28,1,3.0,6,17.0,178.0,5,165.0,10,6.0,13 RUNS,522,31,13,36.0,66.0,76.0,45.0,87.0,33.0
335997.0,2008-04-29,1,23.0,9,5.0,137.0,8,138.0,3,5.0,7 WICKETS,65,32,5,40.0,47.0,50.0,38.0,72.0,28.0
335998.0,2008-04-30,1,10.0,2,17.0,191.0,5,181.0,5,2.0,10 RUNS,273,37,12,58.0,93.0,40.0,55.0,79.0,47.0
335999.0,2008-05-01,1,16.0,16,13.0,164.0,8,167.0,3,13.0,7 WICKETS,428,40,5,50.0,61.0,53.0,41.0,88.0,38.0
336000.0,2008-05-01,1,18.0,11,9.0,196.0,7,151.0,10,11.0,45 RUNS,28,30,11,45.0,97.0,54.0,51.0,77.0,23.0
336001.0,2008-05-02,1,8.0,6,2.0,169.0,6,172.0,2,2.0,8 WICKETS,66,33,10,47.0,79.0,43.0,64.0,78.0,30.0
336002.0,2008-05-25,1,16.0,16,17.0,165.0,10,171.0,5,17.0,5 WICKETS,597,34,14,41.0,82.0,42.0,43.0,63.0,65.0
336003.0,2008-05-03,1,7.0,13,9.0,178.0,6,169.0,6,13.0,9 RUNS,212,31,13,49.0,70.0,59.0,31.0,70.0,68.0
336004.0,2008-05-04,1,27.0,5,2.0,162.0,8,133.0,10,5.0,29 RUNS,55,23,13,50.0,62.0,50.0,37.0,77.0,19.0
336005.0,2008-05-04,1,18.0,6,11.0,109.0,10,110.0,2,11.0,8 WICKETS,21,22,3,38.0,53.0,18.0,44.0,66.0,0.0
336006.0,2008-05-05,1,3.0,17,13.0,126.0,10,127.0,4,13.0,6 WICKETS,210,28,4,26.0,71.0,29.0,52.0,57.0,18.0
336007.0,2008-05-06,1,8.0,6,16.0,144.0,7,148.0,3,16.0,7 WICKETS,110,27,12,34.0,52.0,58.0,50.0,65.0,33.0
336008.0,2008-05-07,1,27.0,11,5.0,103.0,10,104.0,3,5.0,7 WICKETS,64,16,5,48.0,54.0,1.0,34.0,68.0,2.0
336009.0,2008-05-08,1,10.0,2,6.0,187.0,5,188.0,6,6.0,4 WICKETS,522,42,8,50.0,83.0,54.0,62.0,80.0,46.0
336010.0,2008-05-08,1,23.0,9,17.0,129.0,7,124.0,4,9.0,5 RUNS,203,27,7,41.0,74.0,14.0,35.0,76.0,13.0
336011.0,2008-05-09,1,18.0,16,11.0,140.0,8,141.0,2,11.0,8 WICKETS,654,31,5,50.0,53.0,37.0,50.0,79.0,12.0
336012.0,2008-05-28,1,3.0,17,5.0,122.0,9,126.0,1,5.0,9 WICKETS,410,21,8,36.0,56.0,30.0,39.0,78.0,9.0
336013.0,2008-05-10,1,8.0,6,13.0,181.0,4,163.0,9,6.0,18 RUNS,718,22,17,53.0,91.0,37.0,35.0,80.0,48.0
336014.0,2008-05-11,1,16.0,9,16.0,204.0,4,181.0,7,9.0,23 RUNS,203,38,17,43.0,75.0,86.0,55.0,70.0,56.0
336015.0,2008-05-11,1,18.0,2,11.0,156.0,7,159.0,7,11.0,3 WICKETS,74,23,11,47.0,49.0,60.0,21.0,99.0,39.0
336016.0,2008-05-12,1,7.0,17,13.0,143.0,8,144.0,1,13.0,9 WICKETS,428,25,9,50.0,52.0,41.0,42.0,99.0,3.0
336017.0,2008-05-13,1,23.0,9,2.0,133.0,6,110.0,10,9.0,23 RUNS,676,23,3,35.0,60.0,38.0,37.0,60.0,13.0
336018.0,2008-05-14,1,28.0,6,5.0,156.0,6,158.0,1,5.0,9 WICKETS,65,33,15,28.0,61.0,67.0,78.0,80.0,0.0
336019.0,2008-05-28,1,7.0,13,11.0,221.0,3,180.0,7,13.0,41 RUNS,428,38,22,51.0,93.0,77.0,38.0,102.0,40.0
336020.0,2008-05-15,1,10.0,2,16.0,194.0,4,182.0,9,2.0,12 RUNS,234,33,15,48.0,90.0,56.0,71.0,57.0,54.0
336021.0,2008-05-16,1,28.0,9,5.0,67.0,10,68.0,2,5.0,8 WICKETS,55,15,4,27.0,40.0,0.0,68.0,0.0,0.0
336022.0,2008-05-17,1,10.0,2,13.0,118.0,4,94.0,3,13.0,6 RUNS,529,14,14,68.0,50.0,0.0,73.0,21.0,0.0
336023.0,2008-05-17,1,18.0,11,17.0,197.0,1,132.0,9,11.0,65 RUNS,769,31,9,51.0,92.0,54.0,23.0,60.0,49.0
336024.0,2008-05-18,1,16.0,5,16.0,178.0,7,153.0,7,5.0,25 RUNS,449,30,12,57.0,57.0,64.0,32.0,74.0,47.0
336025.0,2008-05-18,1,23.0,9,6.0,149.0,5,55.0,0,6.0,3 RUNS,580,23,3,35.0,66.0,48.0,43.0,12.0,0.0
336026.0,2008-05-19,1,3.0,17,2.0,154.0,7,158.0,5,2.0,5 WICKETS,2,33,9,41.0,61.0,52.0,71.0,56.0,31.0
336027.0,2008-05-20,1,23.0,9,11.0,147.0,8,150.0,4,11.0,6 WICKETS,654,30,11,32.0,70.0,45.0,42.0,86.0,22.0
336028.0,2008-05-21,1,28.0,13,5.0,189.0,4,188.0,10,13.0,1 RUNS,428,35,14,43.0,91.0,55.0,68.0,76.0,44.0
336029.0,2008-05-21,1,8.0,17,6.0,126.0,8,112.0,8,17.0,14 RUNS,39,24,3,23.0,53.0,50.0,44.0,48.0,20.0
336031.0,2008-05-23,1,7.0,16,13.0,175.0,4,178.0,4,13.0,6 WICKETS,428,27,17,42.0,69.0,64.0,74.0,61.0,43.0
336032.0,2008-05-24,1,10.0,5,2.0,176.0,8,179.0,5,2.0,5 WICKETS,170,38,13,60.0,63.0,53.0,56.0,74.0,49.0
336033.0,2008-05-24,1,8.0,11,6.0,211.0,5,201.0,7,11.0,10 RUNS,223,39,18,67.0,100.0,44.0,65.0,92.0,44.0
336034.0,2008-05-03,1,3.0,17,16.0,156.0,8,153.0,6,17.0,3 RUNS,477,30,9,46.0,68.0,42.0,33.0,79.0,41.0
336035.0,2008-05-25,1,23.0,13,9.0,174.0,6,175.0,7,9.0,3 WICKETS,222,34,14,47.0,86.0,41.0,51.0,53.0,71.0
336036.0,2008-05-26,1,18.0,5,11.0,145.0,7,146.0,5,11.0,5 WICKETS,21,25,3,29.0,68.0,48.0,36.0,54.0,56.0
336037.0,2008-05-27,1,16.0,16,6.0,147.0,8,148.0,3,6.0,7 WICKETS,230,29,6,26.0,67.0,54.0,44.0,70.0,34.0
336038.0,2008-05-30,1,28.0,11,2.0,192.0,9,87.0,10,11.0,105 RUNS,74,28,11,58.0,84.0,50.0,28.0,54.0,5.0
336039.0,2008-05-31,1,28.0,13,6.0,112.0,8,116.0,1,6.0,9 WICKETS,580,24,6,35.0,33.0,44.0,35.0,81.0,0.0
336040.0,2008-06-01,1,27.0,6,11.0,163.0,5,164.0,7,11.0,3 WICKETS,654,21,12,42.0,75.0,46.0,41.0,71.0,52.0
392181.0,2009-04-18,2,5.0,5,6.0,165.0,7,146.0,7,5.0,19 RUNS,132,29,9,40.0,65.0,60.0,40.0,68.0,38.0
392182.0,2009-04-18,2,5.0,17,11.0,133.0,8,58.0,10,17.0,75 RUNS,659,16,4,29.0,58.0,46.0,14.0,44.0,0.0
392183.0,2009-04-19,2,5.0,13,2.0,104.0,7,58.0,0,2.0,10 WICKETS,353,11,10,67.0,37.0,0.0,58.0,0.0,0.0
392184.0,2009-04-19,2,5.0,9,16.0,101.0,10,104.0,2,16.0,8 WICKETS,692,18,8,21.0,43.0,37.0,37.0,67.0,0.0
392185.0,2009-04-20,2,30.0,6,17.0,179.0,5,87.0,10,6.0,92 RUNS,768,24,7,68.0,67.0,44.0,46.0,39.0,2.0
392186.0,2009-04-21,2,13.0,13,9.0,158.0,6,79.0,1,9.0,11 RUNS,624,18,10,46.0,71.0,41.0,60.0,19.0,0.0
392188.0,2009-04-22,2,5.0,16,17.0,184.0,6,160.0,8,16.0,24 RUNS,110,26,16,62.0,77.0,45.0,31.0,78.0,51.0
392189.0,2009-04-23,2,13.0,2,6.0,189.0,5,180.0,9,2.0,9 RUNS,481,30,13,59.0,64.0,66.0,61.0,87.0,32.0
392190.0,2009-04-23,2,5.0,11,9.0,150.0,6,150.0,8,,,654,25,13,54.0,53.0,43.0,38.0,60.0,52.0
392191.0,2009-04-24,2,13.0,17,13.0,168.0,9,173.0,3,13.0,7 WICKETS,348,26,12,49.0,69.0,50.0,44.0,65.0,64.0
392192.0,2009-04-25,2,13.0,16,5.0,168.0,9,156.0,7,16.0,12 RUNS,586,22,14,55.0,82.0,31.0,50.0,58.0,48.0
392194.0,2009-04-26,2,30.0,17,2.0,149.0,7,150.0,4,2.0,6 WICKETS,735,18,9,45.0,55.0,49.0,43.0,56.0,51.0
392195.0,2009-04-26,2,5.0,13,11.0,139.0,6,112.0,7,13.0,27 RUNS,736,21,3,38.0,60.0,41.0,32.0,50.0,30.0
392196.0,2009-04-27,2,13.0,6,16.0,165.0,6,169.0,4,16.0,6 WICKETS,637,29,13,62.0,51.0,52.0,69.0,60.0,40.0
392197.0,2009-04-27,2,30.0,5,9.0,187.0,6,95.0,9,5.0,92 RUNS,132,19,12,61.0,90.0,36.0,47.0,48.0,0.0
392198.0,2009-04-28,2,6.0,2,11.0,143.0,7,147.0,5,11.0,5 WICKETS,654,25,10,42.0,59.0,42.0,33.0,63.0,51.0
392199.0,2009-04-29,2,13.0,9,17.0,139.0,6,143.0,5,17.0,5 WICKETS,620,24,5,45.0,49.0,45.0,46.0,52.0,45.0
392200.0,2009-04-29,2,13.0,13,5.0,119.0,8,116.0,7,13.0,3 RUNS,736,11,3,26.0,60.0,33.0,23.0,58.0,35.0
392201.0,2009-04-30,2,6.0,16,2.0,148.0,9,150.0,4,2.0,6 WICKETS,609,28,7,37.0,81.0,30.0,41.0,60.0,49.0
392202.0,2009-04-30,2,6.0,6,11.0,164.0,5,126.0,9,6.0,38 RUNS,230,26,8,40.0,64.0,60.0,38.0,60.0,28.0
392203.0,2009-05-01,2,14.0,5,9.0,148.0,6,139.0,6,5.0,9 RUNS,573,18,9,40.0,48.0,60.0,26.0,72.0,41.0
392204.0,2009-05-01,2,13.0,17,13.0,145.0,9,137.0,7,17.0,8 RUNS,111,24,9,38.0,62.0,45.0,35.0,60.0,42.0
392205.0,2009-05-02,2,30.0,16,11.0,141.0,5,142.0,7,11.0,3 WICKETS,654,23,10,39.0,63.0,39.0,30.0,68.0,44.0
392206.0,2009-05-02,2,19.0,6,2.0,163.0,10,145.0,8,6.0,18 RUNS,542,30,9,53.0,77.0,33.0,49.0,71.0,25.0
392207.0,2009-05-03,2,30.0,9,13.0,153.0,3,154.0,4,13.0,6 WICKETS,529,29,7,28.0,64.0,61.0,51.0,65.0,38.0
392208.0,2009-05-03,2,19.0,5,17.0,149.0,4,150.0,1,17.0,9 WICKETS,4,27,7,25.0,61.0,63.0,51.0,71.0,28.0
392209.0,2009-05-04,2,14.0,6,16.0,178.0,3,100.0,10,6.0,78 RUNS,522,20,13,53.0,77.0,48.0,52.0,48.0,0.0
392210.0,2009-05-05,2,13.0,11,13.0,211.0,4,133.0,8,11.0,78 RUNS,769,36,12,57.0,79.0,75.0,29.0,67.0,37.0
392211.0,2009-05-05,2,13.0,9,2.0,154.0,3,157.0,1,2.0,9 WICKETS,128,31,6,54.0,49.0,51.0,57.0,57.0,43.0
392212.0,2009-05-06,2,6.0,16,5.0,145.0,6,126.0,8,16.0,19 RUNS,705,19,9,37.0,62.0,46.0,41.0,59.0,26.0
392213.0,2009-05-07,2,6.0,17,11.0,105.0,10,107.0,3,11.0,7 WICKETS,368,16,6,29.0,47.0,29.0,31.0,76.0,0.0
392214.0,2009-05-07,2,6.0,6,13.0,185.0,3,174.0,3,6.0,12 RUNS,627,31,17,57.0,88.0,40.0,53.0,95.0,26.0
392215.0,2009-05-08,2,14.0,5,2.0,116.0,10,118.0,3,2.0,7 WICKETS,64,18,5,30.0,44.0,42.0,36.0,38.0,44.0
392216.0,2009-05-09,2,21.0,16,13.0,168.0,5,169.0,7,13.0,3 WICKETS,529,19,16,52.0,48.0,68.0,45.0,74.0,50.0
392217.0,2009-05-09,2,21.0,11,6.0,140.0,7,141.0,3,6.0,7 WICKETS,181,25,9,34.0,65.0,41.0,37.0,60.0,44.0
392218.0,2009-05-10,2,30.0,5,17.0,157.0,2,141.0,7,5.0,16 RUNS,573,19,7,46.0,58.0,53.0,39.0,61.0,41.0
392219.0,2009-05-10,2,19.0,9,2.0,123.0,8,125.0,3,2.0,7 WICKETS,234,19,6,37.0,40.0,46.0,47.0,53.0,25.0
392220.0,2009-05-11,2,21.0,16,11.0,166.0,7,113.0,10,16.0,53 RUNS,634,18,9,42.0,66.0,58.0,30.0,65.0,18.0
392221.0,2009-05-12,2,6.0,9,17.0,173.0,4,176.0,4,17.0,6 WICKETS,510,32,12,38.0,64.0,71.0,46.0,73.0,57.0
392222.0,2009-05-12,2,6.0,13,5.0,119.0,9,122.0,2,5.0,8 WICKETS,293,22,7,51.0,41.0,27.0,42.0,71.0,9.0
392223.0,2009-05-13,2,13.0,2,16.0,173.0,7,161.0,10,2.0,12 RUNS,756,29,13,56.0,53.0,64.0,50.0,84.0,27.0
392224.0,2009-05-14,2,13.0,6,17.0,129.0,10,132.0,8,17.0,2 WICKETS,510,23,7,52.0,53.0,24.0,33.0,58.0,41.0
392225.0,2009-05-14,2,13.0,11,5.0,145.0,7,143.0,10,11.0,2 RUNS,536,26,5,42.0,81.0,22.0,26.0,72.0,45.0
392226.0,2009-05-15,2,4.0,2,13.0,120.0,9,123.0,4,13.0,6 WICKETS,463,18,5,38.0,59.0,23.0,37.0,49.0,37.0
392227.0,2009-05-16,2,30.0,5,6.0,147.0,5,151.0,3,6.0,7 WICKETS,627,19,10,49.0,47.0,51.0,35.0,67.0,49.0
392228.0,2009-05-16,2,19.0,9,16.0,160.0,5,166.0,4,16.0,6 WICKETS,705,25,12,31.0,58.0,71.0,50.0,55.0,61.0
392229.0,2009-05-17,2,19.0,13,16.0,134.0,7,133.0,8,13.0,1 RUNS,111,22,7,39.0,55.0,40.0,46.0,40.0,47.0
392230.0,2009-05-17,2,4.0,2,11.0,150.0,3,136.0,9,2.0,14 RUNS,481,24,3,35.0,60.0,55.0,24.0,69.0,43.0
392231.0,2009-05-18,2,6.0,6,9.0,188.0,3,189.0,3,9.0,7 WICKETS,423,33,14,54.0,69.0,65.0,56.0,75.0,58.0
392232.0,2009-05-19,2,19.0,2,17.0,134.0,7,135.0,3,17.0,7 WICKETS,4,16,6,37.0,52.0,45.0,27.0,75.0,33.0
392233.0,2009-05-20,2,13.0,11,9.0,101.0,9,102.0,6,9.0,4 WICKETS,484,16,5,46.0,33.0,22.0,29.0,36.0,37.0
392234.0,2009-05-20,2,13.0,6,13.0,116.0,9,92.0,8,6.0,24 RUNS,768,16,3,50.0,46.0,20.0,29.0,30.0,33.0
392235.0,2009-05-21,2,6.0,5,2.0,165.0,8,166.0,6,2.0,4 WICKETS,66,35,8,30.0,79.0,56.0,60.0,86.0,20.0
392236.0,2009-05-21,2,6.0,17,16.0,170.0,4,158.0,6,17.0,12 RUNS,554,23,12,33.0,83.0,54.0,64.0,55.0,39.0
392237.0,2009-05-22,2,6.0,2,16.0,153.0,8,154.0,4,16.0,6 WICKETS,110,28,10,49.0,60.0,44.0,84.0,62.0,8.0
392238.0,2009-05-23,2,19.0,6,17.0,146.0,5,149.0,4,17.0,6 WICKETS,554,27,8,52.0,55.0,39.0,59.0,51.0,39.0
392239.0,2009-05-24,2,19.0,16,17.0,143.0,6,137.0,9,16.0,6 RUNS,39,19,9,31.0,70.0,42.0,36.0,67.0,34.0
419106.0,2010-03-12,3,27.0,9,16.0,161.0,4,150.0,7,9.0,11 RUNS,479,22,12,38.0,54.0,69.0,62.0,60.0,28.0
419107.0,2010-03-13,3,26.0,5,11.0,212.0,7,208.0,7,5.0,4 RUNS,654,41,17,69.0,90.0,53.0,39.0,104.0,65.0
