player_id,season_id,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_average,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded,best_bowling_figures
547,5,9,9,163,28,237.0,11.0,8.46,21.55,14.82,55,33.74,14,12,3/25
547,6,5,5,40,7,70.0,3.0,10.0,23.33,13.33,10,25.0,7,3,1/7
547,8,4,4,36,6,50.0,3.0,8.33,16.67,12.0,9,25.0,1,3,1/11
547,9,2,2,23,4,39.0,1.0,9.75,39.0,23.0,5,21.74,4,2,1/14
166,15,2,2,12,2,11.0,2.0,5.5,5.5,6.0,3,25.0,0,0,1/5
166,16,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0,0/0
166,17,2,2,12,2,25.0,0.0,12.5,0.0,0.0,1,8.33,1,2,0/6
166,18,2,2,10,2,13.0,2.0,6.5,6.5,5.0,3,30.0,0,1,2/4
505,5,4,4,84,14,86.0,5.0,6.14,17.2,16.8,39,46.43,3,6,4/13
505,6,8,8,150,25,156.0,6.0,6.24,26.0,25.0,64,42.67,14,4,2/6
410,10,5,5,101,17,144.0,5.0,8.47,28.8,20.2,42,41.58,13,6,2/17
9,11,1,1,24,4,47.0,0.0,11.75,0.0,0.0,6,25.0,2,4,0/47
664,2,3,3,66,11,105.0,2.0,9.55,52.5,33.0,20,30.3,7,7,1/11
752,17,3,3,60,10,114.0,2.0,11.4,57.0,30.0,19,31.67,10,6,1/24
752,18,8,8,129,22,172.0,8.0,7.82,21.5,16.12,55,42.64,17,8,3/13
305,1,10,10,230,39,304.0,7.0,7.79,43.43,32.86,85,36.96,27,14,3/14
305,2,16,16,355,60,347.0,21.0,5.78,16.52,16.9,138,38.87,18,8,5/5
305,3,16,16,380,64,407.0,17.0,6.36,23.94,22.35,151,39.74,27,13,4/16
605,1,6,6,119,20,138.0,11.0,6.9,12.55,10.82,42,35.29,4,8,5/17
605,2,11,11,253,42,294.0,14.0,7.0,21.0,18.07,98,38.74,13,13,3/14
605,3,14,14,318,53,363.0,17.0,6.85,21.35,18.71,131,41.19,26,16,3/25
605,4,14,14,320,54,358.0,19.0,6.63,18.84,16.84,130,40.62,26,14,4/9
605,5,14,14,282,47,377.0,13.0,8.02,29.0,21.69,89,31.56,18,19,3/32
605,6,17,17,372,62,394.0,21.0,6.35,18.76,17.71,151,40.59,21,16,4/19
605,7,10,10,225,38,340.0,7.0,8.95,48.57,32.14,66,29.33,17,21,2/23
605,8,12,12,241,41,310.0,9.0,7.56,34.44,26.78,75,31.12,18,11,2/32
605,9,14,14,276,46,344.0,13.0,7.48,26.46,21.23,93,33.7,24,12,4/11
605,10,14,14,233,39,343.0,10.0,8.79,34.3,23.3,78,33.48,23,20,3/11
605,11,10,10,222,37,264.0,12.0,7.14,22.0,18.5,73,32.88,14,10,3/19
605,12,11,11,240,40,270.0,11.0,6.75,24.55,21.82,82,34.17,14,10,3/17
605,13,3,3,60,10,72.0,3.0,7.2,24.0,20.0,17,28.33,4,2,2/35
605,14,4,4,84,14,109.0,6.0,7.79,18.17,14.0,25,29.76,6,4,4/24
605,16,7,7,114,19,149.0,7.0,7.84,21.29,16.29,30,26.32,10,6,2/21
605,17,1,1,12,2,20.0,1.0,10.0,20.0,12.0,5,41.67,1,2,1/20
274,2,1,1,24,4,42.0,0.0,10.5,0.0,0.0,7,29.17,3,2,0/42
274,3,1,1,18,3,39.0,1.0,13.0,39.0,18.0,2,11.11,2,3,1/39
274,4,12,12,204,34,321.0,5.0,9.44,64.2,40.8,67,32.84,26,15,2/37
274,5,1,1,18,3,33.0,0.0,11.0,0.0,0.0,5,27.78,5,1,0/33
274,6,1,1,24,4,37.0,1.0,9.25,37.0,24.0,9,37.5,6,0,1/37
153,1,14,14,269,45,348.0,12.0,7.73,29.0,22.42,120,44.61,47,8,3/13
153,2,13,13,306,51,346.0,19.0,6.78,18.21,16.11,139,45.42,30,9,3/27
153,3,4,4,84,14,96.0,6.0,6.86,16.0,14.0,37,44.05,11,2,3/26
153,5,13,13,288,48,402.0,11.0,8.38,36.55,26.18,99,34.38,43,14,3/23
153,6,10,10,216,36,316.0,11.0,8.78,28.73,19.64,84,38.89,33,13,2/35
153,7,4,4,90,15,142.0,8.0,9.47,17.75,11.25,30,33.33,16,6,3/33
153,8,16,16,372,62,449.0,22.0,7.24,20.41,16.91,170,45.7,48,13,4/10
153,9,8,8,156,27,199.0,9.0,7.37,22.11,17.33,72,46.15,23,7,3/15
153,10,6,6,127,22,197.0,8.0,8.95,24.62,15.88,47,37.01,28,4,3/42
90,1,1,1,18,3,31.0,1.0,10.33,31.0,18.0,7,38.89,3,2,1/31
615,13,16,16,366,62,512.0,22.0,8.26,23.27,16.64,149,40.71,55,22,3/33
615,14,8,8,182,31,187.0,12.0,6.03,15.58,15.17,79,43.41,17,2,2/12
615,15,6,6,134,23,217.0,9.0,9.43,24.11,14.89,47,35.07,21,10,3/42
615,16,10,10,240,40,364.0,10.0,9.1,36.4,24.0,90,37.5,33,17,2/20
615,17,6,6,132,22,294.0,7.0,13.36,42.0,18.86,36,27.27,25,22,3/59
615,18,2,2,42,7,83.0,1.0,11.86,83.0,42.0,14,33.33,12,3,1/23
703,2,5,5,105,18,95.0,9.0,5.28,10.56,11.67,56,53.33,9,2,4/19
703,4,9,9,171,29,215.0,9.0,7.41,23.89,19.0,75,43.86,29,4,3/35
703,5,9,9,197,33,310.0,10.0,9.39,31.0,19.7,58,29.44,29,11,2/29
