player_id,season_id,phase,matches,innings,runs,balls,average,strike_rate,highest_score,fours,sixes,dismissals,dot_ball_pct,boundary_pct
1,1,Death Over,2,2,4.0,5,2.0,80.0,4.0,1,0,1,80.0,20.0
7,1,Death Over,2,2,27.0,21,13.5,128.57,14.0,2,1,2,23.81,14.29
7,1,Middle Over,8,8,77.0,78,9.62,98.72,34.0,6,1,6,25.64,8.97
7,1,Powerplay Over,8,8,95.0,89,11.88,106.74,30.0,15,2,3,51.69,19.1
14,1,Middle Over,4,4,76.0,58,19.0,131.03,28.0,10,1,3,29.31,18.97
14,1,Powerplay Over,10,10,120.0,113,12.0,106.19,25.0,17,2,6,50.44,16.81
21,1,Death Over,7,7,141.0,78,20.14,180.77,39.0,13,9,5,21.79,28.21
21,1,Middle Over,8,8,112.0,96,14.0,116.67,47.0,5,6,2,32.29,11.46
21,1,Powerplay Over,4,4,35.0,43,8.75,81.4,14.0,4,0,1,58.14,9.3
22,1,Death Over,5,5,39.0,30,7.8,130.0,16.0,5,1,6,36.67,20.0
22,1,Middle Over,1,1,10.0,10,10.0,100.0,10.0,0,1,1,40.0,10.0
26,1,Death Over,1,1,2.0,2,2.0,100.0,2.0,0,0,1,50.0,0.0
29,1,Middle Over,5,5,69.0,55,13.8,125.45,32.0,5,5,5,49.09,18.18
29,1,Powerplay Over,9,9,98.0,104,10.89,94.23,21.0,12,3,4,50.96,14.42
32,1,Death Over,9,9,27.0,25,3.0,108.0,10.0,2,1,5,28.0,12.0
39,1,Death Over,1,1,0.0,1,0.0,0.0,0.0,0,0,1,100.0,0.0
40,1,Death Over,2,2,15.0,21,7.5,71.43,8.0,0,0,2,23.81,0.0
40,1,Middle Over,2,2,1.0,3,0.5,33.33,1.0,0,0,1,66.67,0.0
68,1,Death Over,3,3,12.0,13,4.0,92.31,9.0,0,0,1,7.69,0.0
68,1,Middle Over,2,2,11.0,10,5.5,110.0,6.0,2,0,1,50.0,20.0
68,1,Powerplay Over,1,1,13.0,8,13.0,162.5,13.0,1,1,1,37.5,25.0
77,1,Death Over,2,2,29.0,13,14.5,223.08,24.0,4,1,0,7.69,38.46
77,1,Middle Over,1,1,9.0,9,9.0,100.0,9.0,1,0,1,33.33,11.11
77,1,Powerplay Over,2,2,32.0,47,16.0,68.09,18.0,2,1,1,59.57,6.38
