player_id,season_id,phase,matches,innings,runs,balls,average,strike_rate,highest_score,fours,sixes,dismissals,dot_ball_pct,boundary_pct
1,1,Death Over,1,1,28.0,17,28.0,164.71,28.0,4,1,0,29.41,29.41
1,1,Middle Over,1,1,0.0,4,0.0,0.0,0.0,0,0,0,100.0,0.0
12,1,Death Over,5,5,24.0,27,4.8,88.89,16.0,3,0,2,44.44,11.11
12,1,Middle Over,3,3,10.0,10,3.33,100.0,7.0,0,1,1,50.0,10.0
12,1,Powerplay Over,1,1,0.0,2,0.0,0.0,0.0,0,0,1,100.0,0.0
16,1,Death Over,1,1,1.0,2,1.0,50.0,1.0,0,0,0,50.0,0.0
17,1,Death Over,3,3,19.0,20,6.33,95.0,11.0,1,0,3,25.0,5.0
17,1,Middle Over,3,3,49.0,42,16.33,116.67,25.0,2,4,0,40.48,14.29
17,1,Powerplay Over,4,4,35.0,33,8.75,106.06,29.0,6,1,3,60.61,21.21
19,1,Death Over,1,1,23.0,10,23.0,230.0,23.0,2,1,0,0.0,30.0
19,1,Middle Over,2,2,8.0,9,4.0,88.89,8.0,1,0,2,33.33,11.11
19,1,Powerplay Over,1,1,9.0,8,9.0,112.5,9.0,2,0,0,50.0,25.0
23,1,Death Over,5,5,45.0,29,9.0,155.17,29.0,4,2,3,27.59,20.69
23,1,Middle Over,6,6,100.0,79,16.67,126.58,27.0,9,2,4,29.11,13.92
24,1,Death Over,2,2,4.0,5,2.0,80.0,4.0,1,0,1,80.0,20.0
25,1,Death Over,1,1,0.0,1,0.0,0.0,0.0,0,0,1,100.0,0.0
26,1,Death Over,1,1,0.0,2,0.0,0.0,0.0,0,0,0,100.0,0.0
33,1,Middle Over,9,9,104.0,102,11.56,101.96,33.0,9,2,7,33.33,10.78
33,1,Powerplay Over,13,13,198.0,213,15.23,92.96,23.0,33,1,4,51.17,15.96
44,1,Death Over,1,1,6.0,2,6.0,300.0,6.0,0,1,1,50.0,50.0
44,1,Middle Over,1,1,3.0,6,3.0,50.0,3.0,0,0,0,50.0,0.0
47,1,Death Over,5,5,12.0,20,2.4,60.0,6.0,0,0,2,40.0,0.0
47,1,Middle Over,1,1,3.0,8,3.0,37.5,3.0,0,0,0,62.5,0.0
65,1,Death Over,1,1,2.0,5,2.0,40.0,2.0,0,0,1,60.0,0.0
68,1,Death Over,3,3,25.0,17,8.33,147.06,18.0,4,0,1,35.29,23.53
68,1,Middle Over,1,1,8.0,7,8.0,114.29,8.0,1,0,0,28.57,14.29
76,1,Middle Over,3,3,28.0,35,9.33,80.0,17.0,0,0,3,34.29,0.0
76,1,Powerplay Over,3,3,45.0,43,15.0,104.65,27.0,6,1,0,41.86,16.28
77,1,Death Over,2,2,11.0,19,5.5,57.89,11.0,2,0,1,73.68,10.53
79,1,Death Over,6,6,78.0,46,13.0,169.57,24.0,9,3,3,32.61,26.09
79,1,Middle Over,1,1,12.0,15,12.0,80.0,12.0,1,0,1,53.33,6.67
92,1,Powerplay Over,3,3,23.0,24,7.67,95.83,22.0,5,0,3,58.33,20.83
