venue_id,season_id,matches,avg_first_innings_score,avg_second_innings_score,highest_total,lowest_total,highest_total_chased,batting_first_wins,batting_second_wins,batting_first_win_pct,batting_second_win_pct,avg_wickets,fours,sixes
1,7,7,146.67,121.17,206.0,70.0,206.0,3,3,42.86,42.86,7,137,36
1,13,22,162.48,151.48,196.0,84.0,196.0,8,13,36.36,59.09,5,581,208
1,14,8,159.0,150.38,235.0,92.0,190.0,3,5,37.5,62.5,6,228,73
2,3,4,158.5,146.75,177.0,134.0,151.0,2,2,50.0,50.0,6,103,41
2,7,4,170.75,138.5,201.0,102.0,,4,0,100.0,0.0,7,89,44
2,8,4,150.0,152.0,165.0,130.0,165.0,0,3,0.0,75.0,4,82,27
2,14,5,158.6,152.8,179.0,123.0,167.0,2,3,40.0,60.0,5,123,65
2,15,2,143.5,147.0,161.0,130.0,161.0,0,2,0.0,100.0,6,42,25
2,16,9,195.33,168.0,233.0,125.0,207.0,6,3,66.67,33.33,6,253,162
2,17,8,172.5,170.25,231.0,89.0,206.0,2,6,25.0,75.0,6,230,124
2,18,9,215.67,186.78,243.0,147.0,207.0,7,2,77.78,22.22,6,279,194
3,1,7,156.14,135.57,222.0,82.0,158.0,3,4,42.86,57.14,6,195,69
3,3,7,169.14,154.29,204.0,92.0,204.0,3,4,42.86,57.14,5,194,86
3,4,6,144.67,130.0,205.0,89.0,143.0,2,4,33.33,66.67,5,151,57
3,5,8,174.5,156.5,195.0,123.0,186.0,4,4,50.0,50.0,6,224,110
3,6,8,161.57,141.14,263.0,82.0,176.0,3,4,37.5,50.0,5,198,94
3,7,6,180.33,174.17,200.0,154.0,200.0,2,4,33.33,66.67,6,166,107
3,8,7,178.6,144.0,226.0,88.0,172.0,3,2,42.86,28.57,6,140,84
3,9,9,196.67,166.0,248.0,104.0,195.0,4,5,44.44,55.56,6,271,165
3,10,8,140.62,124.12,161.0,48.0,159.0,4,4,50.0,50.0,7,160,77
3,11,7,187.29,181.86,218.0,153.0,207.0,3,4,42.86,57.14,6,196,137
3,12,7,179.83,177.0,206.0,149.0,206.0,3,3,42.86,42.86,6,180,100
3,16,7,195.57,187.57,226.0,151.0,213.0,4,3,57.14,42.86,6,214,134
3,17,7,196.86,180.29,287.0,140.0,186.0,4,3,57.14,42.86,7,202,151
