match_id,date,toss_decision,win_outcome,result_type,stage,runs_target,season_id,venue_id,toss_winner_id,match_winner_id,player_of_match_id,superover_winner_id
335982.0,2008-04-18,FIELD,140 RUNS,,LEAGUE,,1,3,2,9.0,200,
335982.0,2008-04-18,FIELD,140 RUNS,,LEAGUE,223.0,1,3,2,9.0,200,
335983.0,2008-04-19,BAT,33 RUNS,,LEAGUE,,1,8,4,4.0,623,
335983.0,2008-04-19,BAT,33 RUNS,,LEAGUE,241.0,1,8,4,4.0,623,
335984.0,2008-04-19,BAT,9 WICKETS,,LEAGUE,,1,11,1,8.0,155,
335984.0,2008-04-19,BAT,9 WICKETS,,LEAGUE,130.0,1,11,1,8.0,155,
335985.0,2008-04-20,BAT,5 WICKETS,,LEAGUE,,1,27,14,2.0,396,
335985.0,2008-04-20,BAT,5 WICKETS,,LEAGUE,166.0,1,27,14,2.0,396,
335986.0,2008-04-20,BAT,5 WICKETS,,LEAGUE,,1,24,5,9.0,202,
335986.0,2008-04-20,BAT,5 WICKETS,,LEAGUE,111.0,1,24,5,9.0,202,
335987.0,2008-04-21,BAT,6 WICKETS,,LEAGUE,,1,19,15,1.0,577,
335987.0,2008-04-21,BAT,6 WICKETS,,LEAGUE,167.0,1,19,15,1.0,577,
335988.0,2008-04-22,BAT,9 WICKETS,,LEAGUE,,1,17,5,8.0,124,
335988.0,2008-04-22,BAT,9 WICKETS,,LEAGUE,143.0,1,17,5,8.0,124,
335989.0,2008-04-23,FIELD,6 RUNS,,LEAGUE,,1,9,14,4.0,180,
335989.0,2008-04-23,FIELD,6 RUNS,,LEAGUE,209.0,1,9,14,4.0,180,
335990.0,2008-04-24,FIELD,3 WICKETS,,LEAGUE,,1,17,1,1.0,378,
335990.0,2008-04-24,FIELD,3 WICKETS,,LEAGUE,215.0,1,17,1,1.0,378,
335991.0,2008-04-25,FIELD,66 RUNS,,LEAGUE,,1,8,14,15.0,522,
335991.0,2008-04-25,FIELD,66 RUNS,,LEAGUE,183.0,1,8,14,15.0,522,
335992.0,2008-04-26,FIELD,7 WICKETS,,LEAGUE,,1,3,1,1.0,577,
335992.0,2008-04-26,FIELD,7 WICKETS,,LEAGUE,136.0,1,3,1,1.0,577,
335993.0,2008-04-26,BAT,9 WICKETS,,LEAGUE,,1,9,9,4.0,713,
335993.0,2008-04-26,BAT,9 WICKETS,,LEAGUE,148.0,1,9,9,4.0,713,
335994.0,2008-04-27,FIELD,10 WICKETS,,LEAGUE,,1,29,5,5.0,622,
335994.0,2008-04-27,FIELD,10 WICKETS,,LEAGUE,155.0,1,29,5,5.0,622,
335995.0,2008-04-27,BAT,4 WICKETS,,LEAGUE,,1,8,8,15.0,554,
335995.0,2008-04-27,BAT,4 WICKETS,,LEAGUE,159.0,1,8,8,15.0,554,
335996.0,2008-04-28,BAT,13 RUNS,,LEAGUE,,1,3,4,4.0,444,
