match_id,date,toss_decision,win_outcome,result_type,stage,runs_target,season_id,venue_id,toss_winner_id,match_winner_id,player_of_match_id,superover_winner_id
335982.0,2008-04-18,FIELD,140 RUNS,,LEAGUE,,1,3,11,8.0,718,
335982.0,2008-04-18,FIELD,140 RUNS,,LEAGUE,223.0,1,3,11,8.0,718,
335983.0,2008-04-19,BAT,33 RUNS,,LEAGUE,,1,8,7,7.0,540,
335983.0,2008-04-19,BAT,33 RUNS,,LEAGUE,241.0,1,8,7,7.0,540,
335984.0,2008-04-19,BAT,9 WICKETS,,LEAGUE,,1,11,3,10.0,464,
335984.0,2008-04-19,BAT,9 WICKETS,,LEAGUE,130.0,1,11,3,10.0,464,
335985.0,2008-04-20,BAT,5 WICKETS,,LEAGUE,,1,27,14,11.0,458,
335985.0,2008-04-20,BAT,5 WICKETS,,LEAGUE,166.0,1,27,14,11.0,458,
335986.0,2008-04-20,BAT,5 WICKETS,,LEAGUE,,1,24,12,8.0,219,
335986.0,2008-04-20,BAT,5 WICKETS,,LEAGUE,111.0,1,24,12,8.0,219,
335987.0,2008-04-21,BAT,6 WICKETS,,LEAGUE,,1,19,15,3.0,329,
335987.0,2008-04-21,BAT,6 WICKETS,,LEAGUE,167.0,1,19,15,3.0,329,
335988.0,2008-04-22,BAT,9 WICKETS,,LEAGUE,,1,17,12,10.0,613,
335988.0,2008-04-22,BAT,9 WICKETS,,LEAGUE,143.0,1,17,12,10.0,613,
335989.0,2008-04-23,FIELD,6 RUNS,,LEAGUE,,1,9,14,7.0,305,
335989.0,2008-04-23,FIELD,6 RUNS,,LEAGUE,209.0,1,9,14,7.0,305,
335990.0,2008-04-24,FIELD,3 WICKETS,,LEAGUE,,1,17,3,3.0,584,
335990.0,2008-04-24,FIELD,3 WICKETS,,LEAGUE,215.0,1,17,3,3.0,584,
335991.0,2008-04-25,FIELD,66 RUNS,,LEAGUE,,1,8,14,15.0,655,
335991.0,2008-04-25,FIELD,66 RUNS,,LEAGUE,183.0,1,8,14,15.0,655,
335992.0,2008-04-26,FIELD,7 WICKETS,,LEAGUE,,1,3,3,3.0,329,
335992.0,2008-04-26,FIELD,7 WICKETS,,LEAGUE,136.0,1,3,3,3.0,329,
335993.0,2008-04-26,BAT,9 WICKETS,,LEAGUE,,1,9,8,7.0,701,
335993.0,2008-04-26,BAT,9 WICKETS,,LEAGUE,148.0,1,9,8,7.0,701,
335994.0,2008-04-27,FIELD,10 WICKETS,,LEAGUE,,1,29,12,12.0,441,
335994.0,2008-04-27,FIELD,10 WICKETS,,LEAGUE,155.0,1,29,12,12.0,441,
335995.0,2008-04-27,BAT,4 WICKETS,,LEAGUE,,1,8,10,15.0,90,
335995.0,2008-04-27,BAT,4 WICKETS,,LEAGUE,159.0,1,8,10,15.0,90,
335996.0,2008-04-28,BAT,13 RUNS,,LEAGUE,,1,3,7,7.0,414,
335996.0,2008-04-28,BAT,13 RUNS,,LEAGUE,179.0,1,3,7,7.0,414,
335997.0,2008-04-29,BAT,7 WICKETS,,LEAGUE,,1,24,8,14.0,654,
335997.0,2008-04-29,BAT,7 WICKETS,,LEAGUE,138.0,1,24,8,14.0,654,
335998.0,2008-04-30,FIELD,10 RUNS,,LEAGUE,,1,11,11,10.0,1,
335998.0,2008-04-30,FIELD,10 RUNS,,LEAGUE,192.0,1,11,11,10.0,1,
335999.0,2008-05-01,FIELD,7 WICKETS,,LEAGUE,,1,17,15,15.0,743,
335999.0,2008-05-01,FIELD,7 WICKETS,,LEAGUE,165.0,1,17,15,15.0,743,
336000.0,2008-05-01,BAT,45 RUNS,,LEAGUE,,1,19,3,3.0,247,
336000.0,2008-05-01,BAT,45 RUNS,,LEAGUE,197.0,1,19,3,3.0,247,
336001.0,2008-05-02,BAT,8 WICKETS,,LEAGUE,,1,9,7,10.0,613,
336001.0,2008-05-02,BAT,8 WICKETS,,LEAGUE,170.0,1,9,7,10.0,613,
336003.0,2008-05-03,BAT,9 RUNS,,LEAGUE,,1,8,15,15.0,469,
336003.0,2008-05-03,BAT,9 RUNS,,LEAGUE,179.0,1,8,15,15.0,469,
336034.0,2008-05-03,FIELD,3 RUNS,,LEAGUE,,1,3,12,11.0,529,
336034.0,2008-05-03,FIELD,3 RUNS,,LEAGUE,157.0,1,3,12,11.0,529,
336004.0,2008-05-04,FIELD,29 RUNS,,LEAGUE,,1,29,10,14.0,607,
336004.0,2008-05-04,FIELD,29 RUNS,,LEAGUE,163.0,1,29,10,14.0,607,
336005.0,2008-05-04,BAT,8 WICKETS,,LEAGUE,,1,19,7,3.0,68,
336005.0,2008-05-04,BAT,8 WICKETS,,LEAGUE,110.0,1,19,7,3.0,68,
336006.0,2008-05-05,FIELD,6 WICKETS,,LEAGUE,,1,3,15,15.0,200,
336006.0,2008-05-05,FIELD,6 WICKETS,,LEAGUE,127.0,1,3,15,15.0,200,
336007.0,2008-05-06,FIELD,7 WICKETS,,LEAGUE,,1,9,12,12.0,441,
336007.0,2008-05-06,FIELD,7 WICKETS,,LEAGUE,145.0,1,9,12,12.0,441,
336008.0,2008-05-07,FIELD,7 WICKETS,,LEAGUE,,1,29,14,14.0,196,
336008.0,2008-05-07,FIELD,7 WICKETS,,LEAGUE,104.0,1,29,14,14.0,196,
336009.0,2008-05-08,FIELD,4 WICKETS,,LEAGUE,,1,11,7,7.0,414,
336009.0,2008-05-08,FIELD,4 WICKETS,,LEAGUE,188.0,1,11,7,7.0,414,
336010.0,2008-05-08,BAT,5 RUNS,,LEAGUE,,1,24,8,8.0,447,
336010.0,2008-05-08,BAT,5 RUNS,,LEAGUE,130.0,1,24,8,8.0,447,
336011.0,2008-05-09,FIELD,8 WICKETS,,LEAGUE,,1,19,3,3.0,584,
336011.0,2008-05-09,FIELD,8 WICKETS,,LEAGUE,141.0,1,19,3,3.0,584,
336013.0,2008-05-10,FIELD,18 RUNS,,LEAGUE,,1,9,15,7.0,147,
336013.0,2008-05-10,FIELD,18 RUNS,,LEAGUE,182.0,1,9,15,7.0,147,
336014.0,2008-05-11,BAT,23 RUNS,,LEAGUE,,1,17,8,8.0,447,
336014.0,2008-05-11,BAT,23 RUNS,,LEAGUE,205.0,1,17,8,8.0,447,
336015.0,2008-05-11,FIELD,3 WICKETS,,LEAGUE,,1,19,3,3.0,329,
336015.0,2008-05-11,FIELD,3 WICKETS,,LEAGUE,157.0,1,19,3,3.0,329,
336016.0,2008-05-12,BAT,9 WICKETS,,LEAGUE,,1,8,11,15.0,743,
336016.0,2008-05-12,BAT,9 WICKETS,,LEAGUE,144.0,1,8,11,15.0,743,
336017.0,2008-05-13,BAT,23 RUNS,,LEAGUE,,1,24,8,8.0,206,
336017.0,2008-05-13,BAT,23 RUNS,,LEAGUE,134.0,1,24,8,8.0,206,
336018.0,2008-05-14,FIELD,9 WICKETS,,LEAGUE,,1,27,14,14.0,654,
336018.0,2008-05-14,FIELD,9 WICKETS,,LEAGUE,157.0,1,27,14,14.0,654,
336020.0,2008-05-15,FIELD,12 RUNS,,LEAGUE,,1,11,12,10.0,516,
336020.0,2008-05-15,FIELD,12 RUNS,,LEAGUE,195.0,1,11,12,10.0,516,
336021.0,2008-05-16,FIELD,8 WICKETS,,LEAGUE,,1,27,14,14.0,607,
336021.0,2008-05-16,FIELD,8 WICKETS,,LEAGUE,68.0,1,27,14,14.0,607,
336022.0,2008-05-17,BAT,6 RUNS,,LEAGUE,,1,11,10,15.0,399,
336022.0,2008-05-17,BAT,6 RUNS,,LEAGUE,89.0,1,11,10,15.0,399,
336023.0,2008-05-17,FIELD,65 RUNS,,LEAGUE,,1,19,11,3.0,506,
336023.0,2008-05-17,FIELD,65 RUNS,,LEAGUE,198.0,1,19,11,3.0,506,
336024.0,2008-05-18,FIELD,25 RUNS,,LEAGUE,,1,17,12,14.0,401,
336024.0,2008-05-18,FIELD,25 RUNS,,LEAGUE,179.0,1,17,12,14.0,401,
336025.0,2008-05-18,BAT,3 RUNS,,LEAGUE,,1,24,8,7.0,406,
336025.0,2008-05-18,BAT,3 RUNS,,LEAGUE,53.0,1,24,8,7.0,406,
336026.0,2008-05-19,FIELD,5 WICKETS,,LEAGUE,,1,3,10,10.0,614,
336026.0,2008-05-19,FIELD,5 WICKETS,,LEAGUE,155.0,1,3,10,10.0,614,
336027.0,2008-05-20,FIELD,6 WICKETS,,LEAGUE,,1,24,3,3.0,584,
336027.0,2008-05-20,FIELD,6 WICKETS,,LEAGUE,148.0,1,24,3,3.0,584,
336028.0,2008-05-21,FIELD,1 RUNS,,LEAGUE,,1,27,14,15.0,743,
336028.0,2008-05-21,FIELD,1 RUNS,,LEAGUE,190.0,1,27,14,15.0,743,
336029.0,2008-05-21,BAT,14 RUNS,,LEAGUE,,1,9,11,11.0,457,
336029.0,2008-05-21,BAT,14 RUNS,,LEAGUE,127.0,1,9,11,11.0,457,
336031.0,2008-05-23,FIELD,6 WICKETS,,LEAGUE,,1,8,15,15.0,743,
336031.0,2008-05-23,FIELD,6 WICKETS,,LEAGUE,176.0,1,8,15,15.0,743,
336032.0,2008-05-24,FIELD,5 WICKETS,,LEAGUE,,1,11,10,10.0,642,
336032.0,2008-05-24,FIELD,5 WICKETS,,LEAGUE,177.0,1,11,10,10.0,642,
336033.0,2008-05-24,BAT,10 RUNS,,LEAGUE,,1,9,3,3.0,527,
336033.0,2008-05-24,BAT,10 RUNS,,LEAGUE,212.0,1,9,3,3.0,527,
336002.0,2008-05-25,BAT,5 WICKETS,,LEAGUE,,1,17,12,11.0,359,
336002.0,2008-05-25,BAT,5 WICKETS,,LEAGUE,166.0,1,17,12,11.0,359,
336035.0,2008-05-25,BAT,3 WICKETS,,LEAGUE,,1,24,15,8.0,543,
